psc,obec,okres,distributor_elektrina,distributor_plyn,overit
73924,Krmelín,Frýdek-Místek;Ostrava-město,ČEZ Distribuce,GasNet,ne
73925,Sviadnov,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73932,Vratimov 1,Frýdek-Místek;Ostrava-město,ČEZ Distribuce,GasNet,ne
73934,Šenov u Ostravy,Ostrava-město,ČEZ Distribuce,GasNet,ne
73936,Sedliště,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73937,Horní Bludovice,Frýdek-Místek;Karviná,ČEZ Distribuce,GasNet,ne
73938,Dolní Domaslavice,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73939,Lučina,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73941,Palkovice,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73942,Frýdek-Místek 8,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73943,Staříč,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73944,Brušperk,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73945,Fryčovice,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73946,Hukvaldy,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73947,Kozlovice,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73949,Metylovice,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73951,Dobrá,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73953,Hnojník,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73955,Smilovice u Třince,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73959,Střítež u Českého Těšína,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73961,Třinec 1,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73981,Milíkov u Jablunkova,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73984,Písek u Jablunkova,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73985,Bukovec,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73991,Jablunkov,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73992,Návsí,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73994,Vendryně,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73995,Bystřice nad Olší,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73997,Hrádek nad Olší,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73998,Mosty u Jablunkova,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
74101,Nový Jičín 1,Nový Jičín,ČEZ Distribuce,GasNet,ne
74201,Suchdol nad Odrou,Nový Jičín,ČEZ Distribuce,GasNet,ne
74213,Studénka 3,Nový Jičín,ČEZ Distribuce,GasNet,ne
74221,Kopřivnice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74231,Starý Jičín,Nový Jičín,ČEZ Distribuce,GasNet,ne
74233,Jeseník nad Odrou,Nový Jičín,ČEZ Distribuce,GasNet,ne
74235,Odry,Nový Jičín,ČEZ Distribuce,GasNet,ne
74236,Jakubčovice nad Odrou,Nový Jičín,ČEZ Distribuce,GasNet,ne
74237,Spálov,Nový Jičín,ČEZ Distribuce,GasNet,ne
74242,Šenov u Nového Jičína,Nový Jičín,ČEZ Distribuce,GasNet,ne
74243,Pustějov,Nový Jičín,ČEZ Distribuce,GasNet,ne
74245,Fulnek 1,Nový Jičín,ČEZ Distribuce,GasNet,ne
74247,Hladké Životice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74251,Mošnov,Nový Jičín,ČEZ Distribuce,GasNet,ne
74253,Kunín,Nový Jičín,ČEZ Distribuce,GasNet,ne
74254,Bartošovice na Moravě,Nový Jičín,ČEZ Distribuce,GasNet,ne
74255,Albrechtičky,Nový Jičín,ČEZ Distribuce,GasNet,ne
74256,Sedlnice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74257,Libhošť,Nový Jičín,ČEZ Distribuce,GasNet,ne
74258,Příbor,Frýdek-Místek;Nový Jičín,ČEZ Distribuce,GasNet,ne
74260,Petřvald u Nového Jičína,Nový Jičín,ČEZ Distribuce,GasNet,ne
74265,Rybí,Nový Jičín,ČEZ Distribuce,GasNet,ne
74266,Štramberk,Nový Jičín,ČEZ Distribuce,GasNet,ne
74267,Ženklava,Nový Jičín,ČEZ Distribuce,GasNet,ne
74271,Hodslavice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74272,Mořkov,Nový Jičín,ČEZ Distribuce,GasNet,ne
74273,Veřovice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74274,Tichá,Nový Jičín,ČEZ Distribuce,GasNet,ne
74275,Lichnov u Nového Jičína,Nový Jičín,ČEZ Distribuce,GasNet,ne
74281,Bravantice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74282,Jistebník,Nový Jičín,ČEZ Distribuce,GasNet,ne
74283,Klimkovice,Ostrava-město,ČEZ Distribuce,GasNet,ne
74285,Vřesina u Bílovce,Ostrava-město,ČEZ Distribuce,GasNet,ne
74291,Velké Albrechtice,Nový Jičín,ČEZ Distribuce,GasNet,ne
74292,Bílovec 5,Nový Jičín,ČEZ Distribuce,GasNet,ne
74293,Slatina u Bílovce,Nový Jičín,ČEZ Distribuce,GasNet,ne
74301,Bílovec 1,Nový Jičín;Opava;Ostrava-město,ČEZ Distribuce,GasNet,ne
74401,Frenštát pod Radhoštěm,Nový Jičín,ČEZ Distribuce,GasNet,ne
74601,Opava 1,Opava,ČEZ Distribuce,GasNet,ne
74705,Opava 5,Opava,ČEZ Distribuce,GasNet,ne
74706,Opava 6,Opava,ČEZ Distribuce,GasNet,ne
74707,Opava 7,Opava,ČEZ Distribuce,GasNet,ne
74711,Kozmice u Hlučína,Opava,ČEZ Distribuce,GasNet,ne
74714,Ludgeřovice,Opava,ČEZ Distribuce,GasNet,ne
74715,Šilheřovice,Opava,ČEZ Distribuce,GasNet,ne
74716,Hať u Hlučína,Opava,ČEZ Distribuce,GasNet,ne
74717,Darkovice,Opava,ČEZ Distribuce,GasNet,ne
74718,Píšť,Opava,ČEZ Distribuce,GasNet,ne
74719,Bohuslavice u Hlučína,Opava,ČEZ Distribuce,GasNet,ne
74720,Vřesina u Hlučína,Opava,ČEZ Distribuce,GasNet,ne
74721,Kravaře u Hlučína,Opava,ČEZ Distribuce,GasNet,ne
74722,Dolní Benešov,Opava,ČEZ Distribuce,GasNet,ne
74723,Bolatice,Opava,ČEZ Distribuce,GasNet,ne
74724,Chuchelná,Opava,ČEZ Distribuce,GasNet,ne
74725,Sudice,Opava,ČEZ Distribuce,GasNet,ne
74727,Kobeřice,Opava,ČEZ Distribuce,GasNet,ne
74728,Štěpánkovice,Opava,ČEZ Distribuce,GasNet,ne
74731,Velké Hoštice,Opava,ČEZ Distribuce,GasNet,ne
74733,Oldřišov,Opava,ČEZ Distribuce,GasNet,ne
74735,Hněvošice,Opava,ČEZ Distribuce,GasNet,ne
74741,Hradec nad Moravicí,Opava,ČEZ Distribuce,GasNet,ne
74743,Větřkovice u Vítkova,Opava,ČEZ Distribuce,GasNet,ne
74744,Březová u Vítkova,Opava,ČEZ Distribuce,GasNet,ne
74745,Skřipov u Opavy,Opava,ČEZ Distribuce,GasNet,ne
74747,Vítkov 3,Opava,ČEZ Distribuce,GasNet,ne
74751,Výdejní místo Stěbořice,Opava,ČEZ Distribuce,GasNet,ne
74752,Hlavnice,Opava,ČEZ Distribuce,GasNet,ne
74753,Jakartovice,Opava,ČEZ Distribuce,GasNet,ne
74754,Mladecko,Opava,ČEZ Distribuce,GasNet,ne
74755,Litultovice,Opava,ČEZ Distribuce,GasNet,ne
74756,Dolní Životice,Opava,ČEZ Distribuce,GasNet,ne
74757,Slavkov u Opavy,Opava,ČEZ Distribuce,GasNet,ne
74761,Raduň,Opava,ČEZ Distribuce,GasNet,ne
74762,Mokré Lazce,Opava,ČEZ Distribuce,GasNet,ne
74763,Hrabyně 1,Opava,ČEZ Distribuce,GasNet,ne
74764,Velká Polom,Opava;Ostrava-město,ČEZ Distribuce,GasNet,ne
74766,Dolní Lhota,Ostrava-město,ČEZ Distribuce,GasNet,ne
74767,Hrabyně 3,Opava,ČEZ Distribuce,GasNet,ne
74768,Kyjovice,Opava,ČEZ Distribuce,GasNet,ne
74769,Pustá Polom,Opava,ČEZ Distribuce,GasNet,ne
74770,Opava 9,Opava,ČEZ Distribuce,GasNet,ne
74771,Brumovice u Opavy,Opava,ČEZ Distribuce,GasNet,ne
74773,Vávrovice,Opava,ČEZ Distribuce,GasNet,ne
74774,Neplachovice,Opava,ČEZ Distribuce,GasNet,ne
74775,Velké Heraltice,Opava,ČEZ Distribuce,GasNet,ne
74781,Otice,Opava,ČEZ Distribuce,GasNet,ne
74782,Štáblovice,Opava,ČEZ Distribuce,GasNet,ne
74784,Melč,Opava,ČEZ Distribuce,GasNet,ne
74786,Kružberk,Opava,ČEZ Distribuce,GasNet,ne
74787,Budišov nad Budišovkou,Opava,ČEZ Distribuce,GasNet,ne
74791,Štítina,Opava,ČEZ Distribuce,GasNet,ne
74792,Háj ve Slezsku,Opava,ČEZ Distribuce,GasNet,ne
74794,Děhylov,Opava,ČEZ Distribuce,GasNet,ne
74795,Suché Lazce,Opava,ČEZ Distribuce,GasNet,ne
74801,Hlučín,Opava,ČEZ Distribuce,GasNet,ne
74901,Vítkov 1,Opava,ČEZ Distribuce,GasNet,ne
75002,Přerov 2,Přerov,ČEZ Distribuce,GasNet,ne
75101,Tovačov,Přerov,ČEZ Distribuce,GasNet,ne
75102,Troubky nad Bečvou,Přerov,ČEZ Distribuce,GasNet,ne
75103,Brodek u Přerova,Olomouc;Přerov,ČEZ Distribuce,GasNet,ne
75104,Rokytnice u Přerova,Přerov,ČEZ Distribuce,GasNet,ne
75105,Kokory,Přerov,ČEZ Distribuce,GasNet,ne
75111,Radslavice,Přerov,ČEZ Distribuce,GasNet,ne
75114,Dřevohostice,Přerov,ČEZ Distribuce,GasNet,ne
75115,Domaželice u Přerova,Přerov,ČEZ Distribuce,GasNet,ne
75116,Želatovice,Přerov,ČEZ Distribuce,GasNet,ne
75117,Horní Moštěnice,Přerov,ČEZ Distribuce,GasNet,ne
75118,Říkovice,Přerov,ČEZ Distribuce,GasNet,ne
75119,Vlkoš u Přerova,Přerov,ČEZ Distribuce,GasNet,ne
75121,Prosenice,Přerov,ČEZ Distribuce,GasNet,ne
75122,Osek nad Bečvou,Přerov,ČEZ Distribuce,GasNet,ne
75123,Dolní Újezd u Lipníka nad Bečvou,Přerov,ČEZ Distribuce,GasNet,ne
75124,Přerov 4,Přerov,ČEZ Distribuce,GasNet,ne
75125,Veselíčko u Lipníka nad Bečvou,Přerov,ČEZ Distribuce,GasNet,ne
75127,Výdejní místo Penčice,Přerov,ČEZ Distribuce,GasNet,ne
75131,Lipník nad Bečvou,Olomouc;Přerov,ČEZ Distribuce,GasNet,ne
75144,Polkovice,Přerov,ČEZ Distribuce,GasNet,ne
75201,Kojetín,Přerov,ČEZ Distribuce,GasNet,ne
75301,Hranice 1,Přerov,ČEZ Distribuce,GasNet,ne
75352,Skalička u Hranic,Přerov,ČEZ Distribuce,GasNet,ne
75353,Všechovice,Přerov,ČEZ Distribuce,GasNet,ne
75354,Soběchleby,Přerov,ČEZ Distribuce,GasNet,ne
75355,Paršovice,Přerov,ČEZ Distribuce,GasNet,ne
75356,Opatovice u Hranic,Přerov,ČEZ Distribuce,GasNet,ne
75361,Hranice 4,Přerov,ČEZ Distribuce,GasNet,ne
75362,Potštát,Olomouc;Přerov,ČEZ Distribuce,GasNet,ne
75363,Střítež nad Ludinou,Přerov,ČEZ Distribuce,GasNet,ne
75364,Bělotín,Přerov,ČEZ Distribuce,GasNet,ne
75366,Hustopeče nad Bečvou,Přerov,ČEZ Distribuce,GasNet,ne
75367,Milotice nad Bečvou,Přerov,ČEZ Distribuce,GasNet,ne
75368,Černotín,Přerov,ČEZ Distribuce,GasNet,ne
75501,Vsetín 1,Vsetín,ČEZ Distribuce,GasNet,ne
75601,Hovězí,Vsetín,ČEZ Distribuce,GasNet,ne
75602,Huslenky,Vsetín,ČEZ Distribuce,GasNet,ne
75603,Halenkov,Vsetín,ČEZ Distribuce,GasNet,ne
75604,Nový Hrozenkov,Vsetín,ČEZ Distribuce,GasNet,ne
75605,Karolinka,Vsetín,ČEZ Distribuce,GasNet,ne
75606,Velké Karlovice,Vsetín,ČEZ Distribuce,GasNet,ne
75607,Zděchov,Vsetín,ČEZ Distribuce,GasNet,ne
75611,Valašská Polanka,Vsetín,ČEZ Distribuce,GasNet,ne
75612,Horní Lideč,Vsetín,ČEZ Distribuce,GasNet,ne
75614,Francova Lhota,Vsetín,ČEZ Distribuce,GasNet,ne
75621,Ratiboř u Vsetína,Vsetín,ČEZ Distribuce,GasNet,ne
75622,Hošťálková u Vsetína,Vsetín,ČEZ Distribuce,GasNet,ne
75623,Jablůnka nad Bečvou,Vsetín,ČEZ Distribuce,GasNet,ne
75624,Bystřička,Vsetín,ČEZ Distribuce,GasNet,ne
75625,Růžďka,Vsetín,ČEZ Distribuce,GasNet,ne
75627,Valašská Bystřice,Vsetín,ČEZ Distribuce,GasNet,ne
75631,Liptál,Vsetín,ČEZ Distribuce,GasNet,ne
75641,Lešná,Vsetín,ČEZ Distribuce,GasNet,ne
75642,Choryně,Vsetín,ČEZ Distribuce,GasNet,ne
75643,Kelč,Vsetín,ČEZ Distribuce,GasNet,ne
75644,Loučka u Valašského Meziříčí,Vsetín,ČEZ Distribuce,GasNet,ne
75645,Branky,Vsetín,ČEZ Distribuce,GasNet,ne
75651,Zašová,Vsetín,ČEZ Distribuce,GasNet,ne
75652,Střítež nad Bečvou,Vsetín,ČEZ Distribuce,GasNet,ne
75653,Vidče,Vsetín,ČEZ Distribuce,GasNet,ne
